NC_014803_1079952_1080311	rplS
NC_014100_2935332_2934874	smpB
NZ_GG658170_2366091_2366510	rplP
NC_010002_3309008_3308487	smpB
NC_009074_3646587_3646186	rpsK
NZ_ADCF01000001_650556_650074	smpB
NZ_ACMI01000164_17380_15584	dnaG
NC_014622_169167_170768	pyrG
NC_009077_1236233_1236709	rpsI
NC_008146_1230958_1231434	rpsI
NC_008705_1235267_1235743	rpsI
NZ_AAMV01000002_215757_216320	rplE
NZ_ADBY01000028_1276_1770	rplK
NC_009076_3705145_3704474	rplC
NC_008593_1402280_1401930	rplS
NC_009715_1397446_1397069	rplL
NC_011729_4148132_4148515	rpsM
NZ_ACGY01000092_23592_24134	rpsE
NZ_AAVP02000002_4705_4211	infC
NZ_ACBZ01000153_7778_8155	rpsJ
NC_013165_2585376_2584837	rpsE
NC_013532_408270_408905	rpsC
NC_010628_7591118_7591666	frr
NC_008277_188519_188172	rplT
NZ_ACVQ01000008_64287_63862	rplP
NC_008531_178404_178946	rplE
NZ_AAQJ02000001_1322943_1323377	rpsI
NZ_AAZW01000132_1_297	rpsJ
NC_008710_500860_501711	rplB
NZ_ACBZ01000141_12492_12848	rplT
NC_014751_772333_771935	rpsI
NZ_AAVT01000011_88164_87751	rplP
NZ_DS990592_2684244_2683873	rpsM
NZ_GG704601_103567_103950	rplS
NC_013890_304772_304035	rpsB
NZ_ADFO01000009_27663_27235	rplP
NC_011666_1756384_1758327	dnaG
NZ_ADFD01000002_414315_415247	rpsB
FP929051_1004754_1003546	pgk
NC_014830_3068212_3067931	rpsS
NC_008542_405290_405601	rpsJ
NC_007164_2171503_2170793	rplA
NZ_ABXI02000001_214740_214925	rpsJ
NZ_ABID01000001_1411874_1412194	rpsJ
NC_004603_268418_269020	rplD
NC_012778_857572_858285	rpsB
NZ_AAXF02000042_48467_48015	smpB
NZ_ACLN01000004_183568_183852	rpsS
NZ_ACTJ01000028_18277_17924	rplS
NC_007969_593180_593818	rplC
NC_013156_744397_743873	rplP
NZ_DS995286_28329_27970	rplT
NC_013799_21611_22594	nusA
NC_014330_1125019_1124447	rplF
NC_007899_362496_363194	rplA
NZ_GG705065_56546_56178	rplN
NZ_DS995290_29967_30359	rpsK
NC_013552_1103589_1101955	pyrG
NC_010803_2448925_2448407	rpsE
NC_008532_1765898_1765245	rpsC
NC_014738_1530210_1530515	rpsJ
NC_005071_2204429_2204824	rplL
NZ_AAPR01000010_138782_138408	rpsM
NC_008009_4997227_4995623	nusA
NZ_GG657999_779059_777863	pgk
NC_007298_373735_374262	rpsE
NZ_AEAZ01000041_85534_85169	rplL
NZ_DS999405_1742024_1741632	rpsI
NC_011529_66761_67186	rplN
NC_014932_1018123_1017734	rpsK
NZ_CM000770_457051_456674	rplL
NC_011901_913044_913397	rplS
NC_002944_4639843_4640685	rplB
NC_007168_2144518_2143328	pgk
NC_014019_128294_128602	rpsJ
NZ_ADMT01000116_6332_5856	smpB
NC_004368_1644549_1644124	rplK
NC_013418_411316_411032	rpsS
NC_014006_2431578_2431021	frr
NC_014148_548759_549466	rplA
NC_010505_4092120_4091743	rplL
NC_009659_543947_545746	dnaG
NC_002932_2057191_2056652	rplF
NZ_ACON01000003_606090_606404	rpsJ
NC_008699_3392861_3391878	nusA
NC_004431_3185120_3183483	pyrG
NZ_AASY01000002_37443_38144	rplA
NC_013009_237212_238051	rplB
NZ_AAAP01003795_2456_1824	rpsE
NC_012214_1132131_1131649	smpB
NZ_DS999408_175656_175931	rpsS
NC_004459_1677823_1679310	nusA
NC_012026_1131497_1132030	infC
NZ_ADCU01000023_15489_15133	rpsM
NZ_ADMV01000003_172925_172569	rpsK
NC_014251_482556_482912	rpsK
NC_002950_541599_542060	smpB
NC_013714_529001_529666	rplD
FN545161_114244_114501	rpmA
NC_010545_434187_434723	rplF
NC_013891_1624266_1623517	rpsB
NC_006322_146278_146673	rpsK
NC_012918_1738429_1739196	rpsB
NZ_ADBY01000014_15889_15542	rplS
NZ_ABYN01000199_26448_26861	rplP
NZ_ABJO01000089_3369_2833	rplF
NZ_ACFP01000128_1071_538	rplE
NC_010280_463958_464410	rplM
NC_013093_7732528_7732148	rpsM
FP929052_1416741_1417310	infC
NC_010581_1206371_1204755	nusA
NZ_ADHG01000001_278134_277298	rplB
NC_011375_648206_648499	rpmA
NC_007335_1612145_1611780	rplN
NZ_ACOM01000004_722285_721860	rplK
NC_012559_260685_261053	rplN
NZ_ACBW01000031_963_1547	infC
NC_007508_1139548_1139961	rplP
NZ_ABCE01000078_12112_12492	rpsK
NC_004070_365653_366078	rplK
NC_008209_1349112_1349525	rplP
NC_011898_939487_939951	smpB
NC_007622_1659498_1658971	infC
NC_010674_935516_937294	dnaG
NC_010003_1079210_1080793	pyrG
NC_008497_1312018_1310813	nusA
NC_013062_2175346_2174591	rpsC
NZ_AAVU01000003_158493_158209	rpsS
NC_013235_1112415_1112849	rplK
NC_013926_1446788_1446135	rpsE
NC_009921_7355740_7355171	rplE
NZ_ABAD01000001_111700_111371	rpsM
NZ_ABFD02000008_447199_448989	dnaG
NC_008825_2020517_2020161	rplT
NC_002973_2646504_2646001	rpsE
NC_000961_1450395_1449949	rpsM
FP929052_1616698_1617123	rplP
NZ_AEDL01000005_209533_211278	dnaG
NC_009633_2707549_2706851	rpsB
NC_003902_577313_577705	rpsI
NC_013165_2590151_2589417	rpsC
NC_005296_3656974_3656696	rpsS
NC_003272_5047076_5046708	rplN
NC_013316_119221_119592	rpsM
NZ_AAVW01000036_5414_5019	rpsK
NZ_AAUX01000001_1294633_1294265	rplN
NC_009009_111462_112115	rpsC
NC_014802_231596_231949	rplT
NZ_ABQH01000100_57_470	rplF
NZ_CM000770_1052765_1052319	infC
NC_010644_96157_96501	rpmA
NC_009616_962152_962508	rplT
NC_013525_788984_789556	rpsE
NC_007797_278946_279359	rplP
NC_007795_1180857_1181588	rpsB
NC_009699_2616721_2616020	rpsB
NC_006582_1817243_1819054	dnaG
NC_009707_1819326_1818781	rplE
NC_008513_88277_88636	rplT
NC_007332_220600_220229	rpsJ
NZ_AALF02000050_10264_9116	pgk
X80194_3415_3807	rpsI
NZ_ADGP01000019_150916_151674	pgk
NZ_AATQ01000047_14261_13803	rplM
NZ_ABFY02000030_70783_70502	rpsS
NC_008751_2497303_2497767	smpB
NC_014394_1949687_1949130	frr
NC_014638_1835241_1834822	rplP
NZ_AAXB02000013_26713_27393	rplC
NC_014640_6953717_6953286	rplK
NC_014657_1551934_1551491	rplP
NZ_ABWN01000019_21300_20875	rplK
NC_003919_1425829_1426089	rpmA
NC_010161_1595818_1595450	rpsM
NC_009925_4734937_4735482	rplE
NC_011772_133113_133478	rpsM
NC_012880_450510_450821	rpsJ
NC_014721_1802406_1802032	rpsM
NZ_AAVU01000003_156860_156432	rplP
NC_009943_844575_844988	rplP
NZ_GG698802_505501_505220	rpmA
NZ_ABCJ01000003_157347_158984	dnaG
NC_007797_279807_280166	rplN
NC_010525_1127099_1126656	rplS
NC_004547_352201_352629	rplM
NC_007332_640265_641479	pgk
NC_009253_257408_257839	rplM
NC_012997_501146_499224	dnaG
NC_013162_532845_533282	rplK
NC_009439_2178164_2178520	rplT
NC_012686_589090_588722	rpsM
NZ_GG657738_2609961_2609536	rplP
NC_008528_895115_895435	rpmA
NZ_DS990485_145323_145496	smpB
NZ_AAAK03000044_1980_2414	rplP
NZ_AAFJ01000008_30024_29671	rplT
NZ_ABYB01000209_11980_12702	rplA
NC_007614_547978_548532	infC
NC_010645_31171_31482	rpsJ
NZ_ABYJ02000031_1328_951	rplL
NC_000868_346124_347737	pyrg
NC_007181_1246977_1246465	rplK
NC_010554_3585784_3586485	rpsC
NC_011999_1919128_1917533	pyrG
NC_009080_2498314_2498706	rpsI
NC_007434_3739411_3739019	rpsI
NZ_ABVV01000004_106538_108154	pyrG
NC_007633_810566_809865	rpsC
NC_008508_484983_485603	rplC
NC_011567_2719143_2717548	pyrG
NZ_GG692851_1338257_1337058	nusA
NZ_ACIP02000002_9769_9299	smpB
NC_013159_1422370_1424343	dnaG
