360	NC_014803_1079952_1080311
459	NC_014100_2935332_2934874
420	NZ_GG658170_2366091_2366510
522	NC_010002_3309008_3308487
402	NC_009074_3646587_3646186
483	NZ_ADCF01000001_650556_650074
1797	NZ_ACMI01000164_17380_15584
1602	NC_014622_169167_170768
477	NC_009077_1236233_1236709
477	NC_008146_1230958_1231434
477	NC_008705_1235267_1235743
564	NZ_AAMV01000002_215757_216320
495	NZ_ADBY01000028_1276_1770
672	NC_009076_3705145_3704474
351	NC_008593_1402280_1401930
378	NC_009715_1397446_1397069
384	NC_011729_4148132_4148515
543	NZ_ACGY01000092_23592_24134
495	NZ_AAVP02000002_4705_4211
378	NZ_ACBZ01000153_7778_8155
540	NC_013165_2585376_2584837
636	NC_013532_408270_408905
549	NC_010628_7591118_7591666
348	NC_008277_188519_188172
426	NZ_ACVQ01000008_64287_63862
543	NC_008531_178404_178946
435	NZ_AAQJ02000001_1322943_1323377
297	NZ_AAZW01000132_1_297
852	NC_008710_500860_501711
357	NZ_ACBZ01000141_12492_12848
399	NC_014751_772333_771935
414	NZ_AAVT01000011_88164_87751
372	NZ_DS990592_2684244_2683873
384	NZ_GG704601_103567_103950
738	NC_013890_304772_304035
429	NZ_ADFO01000009_27663_27235
1944	NC_011666_1756384_1758327
933	NZ_ADFD01000002_414315_415247
1209	FP929051_1004754_1003546
282	NC_014830_3068212_3067931
312	NC_008542_405290_405601
711	NC_007164_2171503_2170793
186	NZ_ABXI02000001_214740_214925
321	NZ_ABID01000001_1411874_1412194
603	NC_004603_268418_269020
714	NC_012778_857572_858285
453	NZ_AAXF02000042_48467_48015
285	NZ_ACLN01000004_183568_183852
354	NZ_ACTJ01000028_18277_17924
639	NC_007969_593180_593818
525	NC_013156_744397_743873
360	NZ_DS995286_28329_27970
984	NC_013799_21611_22594
573	NC_014330_1125019_1124447
699	NC_007899_362496_363194
369	NZ_GG705065_56546_56178
393	NZ_DS995290_29967_30359
1635	NC_013552_1103589_1101955
519	NC_010803_2448925_2448407
654	NC_008532_1765898_1765245
306	NC_014738_1530210_1530515
396	NC_005071_2204429_2204824
375	NZ_AAPR01000010_138782_138408
1605	NC_008009_4997227_4995623
1197	NZ_GG657999_779059_777863
528	NC_007298_373735_374262
366	NZ_AEAZ01000041_85534_85169
393	NZ_DS999405_1742024_1741632
426	NC_011529_66761_67186
390	NC_014932_1018123_1017734
378	NZ_CM000770_457051_456674
354	NC_011901_913044_913397
843	NC_002944_4639843_4640685
1191	NC_007168_2144518_2143328
309	NC_014019_128294_128602
477	NZ_ADMT01000116_6332_5856
426	NC_004368_1644549_1644124
285	NC_013418_411316_411032
558	NC_014006_2431578_2431021
708	NC_014148_548759_549466
378	NC_010505_4092120_4091743
1800	NC_009659_543947_545746
540	NC_002932_2057191_2056652
315	NZ_ACON01000003_606090_606404
984	NC_008699_3392861_3391878
1638	NC_004431_3185120_3183483
702	NZ_AASY01000002_37443_38144
840	NC_013009_237212_238051
633	NZ_AAAP01003795_2456_1824
483	NC_012214_1132131_1131649
276	NZ_DS999408_175656_175931
1488	NC_004459_1677823_1679310
534	NC_012026_1131497_1132030
357	NZ_ADCU01000023_15489_15133
357	NZ_ADMV01000003_172925_172569
357	NC_014251_482556_482912
462	NC_002950_541599_542060
666	NC_013714_529001_529666
258	FN545161_114244_114501
